0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rock,Alice Cooper,Feed My Frankenstein,7LDTB4kVmrLCU5TqKjZnzm,53,0.00362,0.531,284693,0.917,0.000347,C,0.239,-8.033,Major,0.0554,101.829,4/4,0.393
Ska,La Resistencia,Carlos el Violador,0fwujlVoMcCywlNg8xx1UR,21,0.0673,0.455,336249,0.902,0.0351,E,0.207,-4.012,Minor,0.0423,107.127,4/4,0.897
Reggae,Wookiefoot,Come to Life,1U0nq4Y88GBz1LawExNI3F,31,0.0214,0.717,297973,0.634,3.08e-06,E,0.168,-6.187,Major,0.0339,109.993,4/4,0.423
Soundtrack,John Barry,Alone On The Farm,2q1rZX6RPotuL70zih0ZLm,31,0.914,0.187,63800,0.0475,0.902,F,0.0886,-28.173,Major,0.0457,63.949,3/4,0.0432
Soundtrack,Bear McCreary,Mimir,1nnrvHZNMDT3hRdUpxIZ6X,42,0.535,0.17,176400,0.0929,0.958,D,0.179,-22.001,Minor,0.036,80.018,3/4,0.0401
Folk,Whiskeytown,16 Days,3aFMz2anc9vurZw6bPunI6,53,0.285,0.577,234667,0.705,1.2e-06,C,0.107,-6.565,Major,0.0538,127.591,4/4,0.387
Anime,Official HIGE DANdism,Second LINE,0hGQravWbsUo7goikMweSR,47,0.0158,0.428,267149,0.867,0.0,G,0.352,-3.1,Major,0.0534,204.135,4/4,0.545
Ska,The Littlest Man Band,The Preface,1kELkaWhNJHPLaL6vf4bna,13,0.0652,0.608,133467,0.577,5.8e-05,A,0.132,-6.477,Major,0.0479,128.872,4/4,0.111
Rock,We Came As Romans,I Knew You Were Trouble,21UO2pCqQhBPPYjG425FQ4,56,0.00227,0.56,218554,0.688,0.0,F#,0.0596,-4.437,Major,0.056,76.997,4/4,0.611
Reggae,La Secta AllStar,Siente El Fuego,7tOoS9C3U6YeikYL3bOYZf,24,0.00192,0.605,251333,0.895,2.33e-06,E,0.242,-4.754,Major,0.0386,133.931,4/4,0.838
Pop,Kendrick Lamar,Money Trees,2HbKqm4o0w5wEeEFXm2sD4,69,0.0703,0.716,386907,0.531,0.0,G,0.224,-7.355,Major,0.122,71.994,4/4,0.344
Country,The Damn Quails,Me and the Whiskey,4EGHVDga7Yqcs67v1Wsci7,38,0.0369,0.611,248896,0.456,1.28e-05,G,0.342,-7.684,Major,0.0271,124.06,4/4,0.349
Childrenâs Music,Olympia,Shoot To Forget,2o8Bq9uWTtBym3UfbQq2cN,48,0.00244,0.541,178683,0.809,0.0,F,0.108,-2.769,Major,0.041,122.988,4/4,0.597
Alternative,Alice In Chains,"Got Me Wrong - Live at the Majestic Theatre, Brooklyn, NY - April 1996",4uc4dKehCiytR5NLTSGJXu,48,0.116,0.535,300000,0.69,0.000113,G#,0.73,-8.956,Major,0.045,81.871,4/4,0.293
Soul,Keyshia Cole,"Love, I Thought You Had My Back",4GklWm2MNpEq7Pf748P1o8,39,0.0474,0.608,250267,0.74,0.0,G,0.0352,-5.074,Minor,0.0442,73.002,4/4,0.691
Rap,Young Thug,Climax (feat. 6lack),4N9QsmvQJcGwJHAmDmBttU,68,0.0608,0.829,189093,0.362,0.0,C,0.135,-11.546,Minor,0.231,122.912,4/4,0.369
Children's Music,Music For Little People Choir,She Came In Through The Bathroom Window,6sGtGG2SJUVI8GkAcLcM8R,0,0.008,0.567,185133,0.627,0.0,C,0.134,-6.888,Major,0.0242,81.584,4/4,0.598
R&B,Ty Dolla $ign,When I See Ya (feat. Fetty Wap),6RR0gGywnokuXCekeT1CF8,42,0.423,0.654,214040,0.529,0.0,G#,0.175,-6.712,Major,0.0663,107.982,3/4,0.34
World,Passion,We Fall Down - Live,6at7v0kxzVTPtqKVJTtIMt,30,0.715,0.271,168293,0.315,0.0,E,0.633,-9.456,Major,0.0305,142.698,4/4,0.537
Electronic,Dillon Francis,Coming Over,6m3ZWIXhjoV76syT1j2oE9,65,0.227,0.631,178333,0.661,1.43e-06,F,0.166,-5.5,Minor,0.0999,174.031,4/4,0.698
Classical,Gustav Mahler,"Symphony No. 8 in E-Flat Major - ""Symphony of a Thousand"" / Pt. 1: ""Accende lumen sensibus""",6RycfXvsGpZllsbirPovgm,5,0.965,0.231,340240,0.525,0.725,A#,0.471,-9.981,Major,0.0404,132.572,4/4,0.21
R&B,H.E.R.,Still Down,3P1MMSKp3FR5tvWlzPyVSX,58,0.652,0.444,169120,0.395,2.73e-05,C,0.0962,-12.25,Minor,0.151,110.778,4/4,0.0918
Comedy,John Pinette,Musical Theatre,05mWjkSBzuXskRsWIXDu7F,35,0.854,0.449,203800,0.758,0.0,E,0.985,-19.419,Minor,0.945,172.574,5/4,0.168
Anime,BURNOUT SYNDROMES,Pianotune,1Eea4LPC6YBE07PVRCAAh0,16,0.000238,0.472,235067,0.903,0.0,A,0.0437,-4.223,Major,0.0462,129.994,4/4,0.664
Indie,The Frights,Goodbyes,5cutEqdMby5pH8Vif2mdWs,42,0.192,0.627,194400,0.71,0.0,D,0.131,-5.076,Major,0.0317,130.019,4/4,0.461
Opera,Giuseppe Verdi,"Aida: Chi ti salva, sciagurato",0KOQEyDxuWQ8JfoP7Ek1ch,9,0.964,0.442,36307,0.308,0.00107,F,0.789,-17.953,Minor,0.0531,96.034,4/4,0.637
Country,Nate Kenyon,Taxis in a Small Town,3R0FVLlxX3Mmub6FmN0FpJ,41,0.416,0.669,195326,0.703,0,F#,0.182,-4.596,Major,0.0341,78.045,4/4,0.776
Soundtrack,JÃ³hann JÃ³hannsson,Viva Voce,6Nd2IMwG1VOYKnsbp5pnLe,36,0.942,0.0845,96652,0.138,0.943,C,0.0993,-19.285,Major,0.0548,79.747,4/4,0.0287
Indie,Skizzy Mars,Burn Bridges (feat. Chose),5trW3r6R5Eobr8Z35gXE6o,49,0.155,0.749,179918,0.724,0.0,C,0.323,-6.988,Major,0.122,103.051,4/4,0.597
Folk,Soccer Mommy,Your Dog,3BpUZB0tw4zNmG3Iw1mclL,63,0.122,0.652,194009,0.669,0.00039,B,0.169,-7.797,Minor,0.0262,115.047,4/4,0.769
Movie,Richard M. Sherman,A Prayer,1DnK1uc4aWlbOFj7QyLwsP,0,0.984,0.372,185800,0.23,0.937,F,0.0972,-10.951,Major,0.0397,79.381,5/4,0.35
Comedy,George Carlin,Divorce Game,70bOnuQdEwsX6efcj0bpZz,16,0.916,0.45,269960,0.207,0.0,D,0.907,-29.578,Major,0.936,69.983,4/4,0.567
Reggae,311,Beyond the Gray Sky,6pqjhO9cDziDKLK0Oejaqz,33,0.00657,0.81,257853,0.394,0.000149,F#,0.0814,-9.06,Major,0.0379,120.143,4/4,0.503
Electronic,Barely Alive,Break Em Down,1Z5BN6rGogokAeV4M59egR,39,0.00619,0.583,224183,0.916,0.0044,F,0.346,-1.579,Minor,0.0635,149.985,4/4,0.243
Jazz,Pat Metheny,Cherish,3aFGTxX8vHOiScVvLOGFx0,41,0.777,0.42,328027,0.27,0.862,C#,0.1,-14.396,Major,0.0326,99.823,4/4,0.136
Movie,George Bruns,Ory's Creole Trombone,1d9b8oTIVZrMsxhQaSb7Bv,9,0.804,0.838,150227,0.492,0.845,F,0.142,-9.633,Major,0.043,110.099,4/4,0.969
Soundtrack,The Chamber Orchestra Of London,Story Of My Life,2Wo7qiEJfi5otZHM2uW9BL,36,0.966,0.0999,117787,0.141,0.0167,F,0.124,-18.166,Minor,0.037,86.466,5/4,0.0314
Anime,GReeeeN,é¥ã,3b4m7oHn5wnjAZglj1W03K,27,0.236,0.513,313067,0.425,0,D,0.144,-5.755,Major,0.024,84.011,4/4,0.336
Anime,Project Destati,Home of Dragons,1mT3UpnOiiL6W0AqTpeqDb,22,0.827,0.256,334547,0.38,0.788,E,0.103,-11.531,Minor,0.0335,132.265,4/4,0.229
Rap,Tech N9ne,F.T.I. 2.0,44tnNLWLKlCEa0txFuUCiD,49,0.325,0.578,180727,0.887,0.0,C#,0.578,-5.543,Major,0.278,93.963,4/4,0.373
Childrenâs Music,Candlebox,Cover Me,5Bb88WRO4906ngHGMvkv4P,49,0.00619,0.591,285547,0.638,4.69e-06,G,0.113,-6.958,Major,0.029,131.113,4/4,0.348
Jazz,Diana Krall,Feels Like Home,0Z9yS8hMAZ3cNeavV0KKpv,52,0.946,0.547,261507,0.139,2.93e-06,G#,0.145,-12.539,Major,0.0289,92.994,4/4,0.34
World,Audrey Assad,Midwinter,2xWrohwZZ88teyMfIIucpN,26,0.218,0.447,244249,0.342,0.0465,C,0.102,-9.848,Major,0.0275,143.668,4/4,0.133
Electronic,Rusko,High - Bassnectar Remix,4iPzWylVMumfmvSaF0zmPg,50,0.0261,0.473,234857,0.922,0.0664,D#,0.753,-3.496,Minor,0.0408,139.874,4/4,0.0483
Hip-Hop,Mac Miller,Bird Call,2iBds1wVEnKKuvSTFzZd81,49,0.227,0.687,128720,0.791,0.00191,C#,0.396,-8.626,Major,0.266,100.041,4/4,0.629
R&B,The Weeknd,False Alarm,4oeaIftdpT3JuZLcCkKmVE,69,0.0324,0.518,220307,0.676,3.62e-05,G#,0.189,-6.373,Minor,0.0744,173.998,4/4,0.197
Rock,Billy Joel,Allentown,59xhCcRskqyMtKzdvLZDfV,52,0.127,0.69,230160,0.837,7.2e-06,G,0.102,-8.312,Major,0.0289,113.817,4/4,0.967
Comedy,Chris Rock,Black Poet,2qd2WOQdcyOrLHcomwN6xL,21,0.695,0.756,108413,0.406,0.0,G#,0.632,-9.852,Major,0.686,55.065,3/4,0.81
Comedy,Michael Ian Black,Divorce Advice,3YSmq7AH8l48IT50EZR7In,22,0.852,0.713,52326,0.552,0.0,D,0.563,-12.98,Major,0.957,113.512,3/4,0.879
Ska,Anti-Flag,The Debate Is Over (If You Want It),6akLeq6U23zf7rTFNj0khd,22,5.48e-05,0.401,197240,0.857,0.000397,F,0.0519,-5.207,Minor,0.129,173.993,4/4,0.594
Folk,Matt and Kim,Hey Now,2l4jtaX2SozBzc5N1g07Bp,48,0.00442,0.743,169480,0.624,1.77e-06,C,0.299,-5.978,Minor,0.0387,95.014,4/4,0.431
Folk,Aimee Mann,Two of Us,3hduloI1MwLBPm8DqOG4Xb,39,0.111,0.728,210827,0.526,0.359,F#,0.0565,-11.325,Major,0.0304,111.975,4/4,0.478
Jazz,Keiko Matsui,Light Above The Trees,1gy4eVj2e9AqM4PEdRx9W5,28,0.991,0.402,417787,0.0298,0.857,D,0.0956,-25.601,Minor,0.0463,130.672,3/4,0.0736
Dance,Pendulum,Propane Nightmares,6tC2iHfUlzB2W4ntXXL2BH,58,0.000262,0.356,313347,0.966,0.148,G,0.192,-4.13,Minor,0.0825,173.992,4/4,0.215
Soundtrack,Hans Zimmer,Honor [For Oboe And Strings],49KPTy0LXWTplVtZ7rgoCM,37,0.892,0.125,179227,0.184,0.89,D#,0.103,-18.568,Major,0.0419,66.687,5/4,0.0384
Rock,Creedence Clearwater Revival,Susie Q,6z2AyfE9GZxoHqJVSA4NgN,54,0.0964,0.648,274160,0.556,0.000809,A,0.124,-13.607,Minor,0.0408,128.237,4/4,0.94
Pop,Conor Maynard,R U Crazy - Radio Edit,4iBLjdxbL9VKzNEfPeZ6zR,59,0.0699,0.546,207666,0.586,0.0,G,0.109,-4.211,Major,0.272,89.089,5/4,0.819
Hip-Hop,A$AP Rocky,Purple Swag,51cqtusY2TwC6mbN8Vz8iA,59,0.0457,0.611,118560,0.571,0.0,D,0.127,-8.833,Major,0.167,115.01,4/4,0.35
Folk,The Walkmen,We've Been Had,1K5wIDgNBgT7lVOMibiRAE,45,0.809,0.434,204347,0.581,0.0002,E,0.338,-7.449,Major,0.0313,100.219,4/4,0.447
Soul,D'Angelo,Me And Those Dreamin' Eyes Of Mine,5MjUkhqCpr5uZ39xZmLZxe,48,0.702,0.511,286800,0.402,0.00014,E,0.11,-10.695,Minor,0.219,83.339,4/4,0.503
Children's Music,Juice Music,Song To Make You Smile,0pIz7ToAvbCtUlVlc6UHYN,5,0.891,0.71,148800,0.205,0.0,A,0.0987,-12.313,Major,0.0511,159.982,4/4,0.276
Blues,Ray Charles,The Ray - 2016 Mono Remaster,2gZbm7u848MFqDPiymZm8h,31,0.898,0.635,241170,0.206,0.301,A#,0.172,-14.802,Minor,0.051,127.647,4/4,0.501
Soundtrack,Craig Armstrong,Will's Pain,5wpSCjS7KDthxtMc7bkTe7,29,0.942,0.29,72373,0.131,0.671,C,0.108,-22.264,Major,0.0396,158.123,4/4,0.0787
Electronic,Flux Pavilion,I'm The One,1Gtm75KWSEAkuK7qkEDxCx,26,0.000497,0.706,243495,0.886,0.548,G#,0.135,-3.42,Minor,0.0369,111.98,4/4,0.178
Comedy,Dane Cook,The Game of Love And How To Destroy It,0AC17fEcZpr4qiml9Lgdji,28,0.562,0.54,1325534,0.994,0.0,C#,0.95,-4.241,Major,0.934,80.946,4/4,0.0889
Jazz,Swingrowers,Midnight,6TT9QrhtNpgWdrFGfjfV02,43,0.38,0.731,223426,0.921,1.78e-05,G#,0.182,-4.695,Major,0.0849,98.976,4/4,0.633
Pop,Chance the Rapper,Summer Friends (feat. Jeremih & Francis & The Lights),2fl0B0OaXjWbjHCQFx2O8W,66,0.675,0.693,290316,0.426,1.03e-05,G#,0.115,-12.476,Major,0.302,144.796,4/4,0.477
Jazz,John Coltrane,Dedicated To You,1oEOS6bZiRCxYX0JmlrV7Z,32,0.986,0.403,334067,0.077,0.0115,G#,0.116,-16.47,Major,0.0366,130.904,4/4,0.1
Folk,Bombay Bicycle Club,Shuffle,4yYvWFUWMaKMXtoJKJnmZk,59,0.316,0.627,235293,0.959,0.00576,G,0.112,-4.744,Major,0.0298,109.981,4/4,0.397
Soul,Two Another,Over My Shoulder,5PpbET7T64pTPhWB3Nsh7f,55,0.135,0.815,240104,0.81,0.00954,F#,0.54,-5.842,Major,0.0787,115.997,4/4,0.612
World,Shane & Shane,Though You Slay Me,2Ujuq5IFtnJJ7b63okoUo6,49,0.389,0.426,278707,0.431,0.0,A#,0.148,-8.083,Major,0.0287,113.463,4/4,0.332
Movie,Pearl Bailey,You Can't Make it Anywhere,34xrecMjJdnqpVhmX8KC9H,0,0.881,0.449,217893,0.285,0.0,A,0.124,-11.306,Minor,0.0459,88.269,4/4,0.378
Childrenâs Music,Five Finger Death Punch,It Doesn't Matter,1KkgRrcHs2EfVzLtcCrWXI,53,2.48e-05,0.51,225964,0.993,3.87e-05,E,0.369,-4.202,Major,0.11,139.988,4/4,0.238
Indie,Landon Austin,Armor,0o9MIPIGM8svRpfdQGTvUX,54,0.157,0.528,212066,0.684,0.0,G#,0.0997,-6.266,Minor,0.0331,155.947,4/4,0.31
Reggae,The Beautiful Girls,High Rolling,6cxHP5xlKIgLax1nw7hOlH,22,0.373,0.736,149629,0.507,0.00771,C,0.105,-7.059,Major,0.0805,83.82,4/4,0.581
Soul,Monica,Commitment,228HtIBLgb4W17mIMe8OdH,50,0.0191,0.479,163584,0.565,0.0,B,0.288,-8.237,Major,0.427,75.085,5/4,0.378
Pop,SZA,Supermodel,5wTVNpi5WDByxBgKgUE6MU,69,0.651,0.612,181120,0.442,0.0,F#,0.26,-8.874,Major,0.289,119.235,5/4,0.253
Soundtrack,John Barry,The John Dunbar Theme (film version),4NzyM0AAmN2ucaBlTXbQQT,56,0.855,0.105,141549,0.0616,0.94,D#,0.112,-28.12,Major,0.0458,91.718,3/4,0.0378
Rap,Kendrick Lamar,untitled 02 | 06.23.2014.,3I0FBDc1c1BLNtXWKVjmFg,63,0.341,0.526,258827,0.506,0.0,F,0.646,-10.47,Major,0.519,85.349,3/4,0.0963
Soul,LEISURE,Easy Way Out,4NCFHqjNdvAFRb4Xihb7j2,52,0.201,0.875,232447,0.483,0.0113,F#,0.151,-9.275,Minor,0.0918,105.023,4/4,0.443
Children's Music,Kim Mitzo Thompson,Character Dances - From the Nutcracker Suite Op 71.a,1Q4Pz9ZB9LHp9aHF1fRp7W,0,0.991,0.631,146471,0.252,0.817,D#,0.12,-15.034,Minor,0.0436,147.358,4/4,0.542
Movie,Susan Egan,Wuthering Heights,0KL6bNlijrYCFwMws22y2B,15,0.538,0.289,215720,0.478,8.39e-06,A#,0.133,-6.974,Major,0.0294,127.297,4/4,0.0581
Indie,Ruth B.,2 Poor Kids,0nNCUMIWwnuSjfXghUJSoF,52,0.971,0.696,227067,0.184,1.46e-05,A#,0.116,-11.427,Major,0.0348,102.006,3/4,0.516
Electronic,UNKLE,The Other Side,2VZfJZpbS5btsMdn4HQE0m,43,0.0112,0.444,249917,0.865,1.93e-06,F#,0.271,-7.748,Minor,0.0712,84.016,4/4,0.31
World,Worship Central,The Same Power - Live,4EfILlyYxqZO7jFcMbeg9e,34,0.00174,0.318,446107,0.689,0.0,E,0.707,-6.995,Major,0.0419,75.098,4/4,0.178
World,Citipointe Live,You Are (Live),4vC2NMRwwZqp9b46C0maAf,29,0.0709,0.383,348093,0.453,0.0,G,0.107,-8.384,Major,0.0286,67.023,4/4,0.115
Soul,THEY.,What You Want,50LSNgJLskXvLroHEHHnqP,42,0.0779,0.68,190358,0.909,0.0,C,0.378,-4.74,Major,0.0822,147.927,4/4,0.809
Blues,Etta James,Girl Of My Dreams - Single Version,4C4ZGls8SqHMrYayEqK8BT,33,0.825,0.565,145600,0.383,0.0,D#,0.127,-6.927,Major,0.0349,141.653,3/4,0.614
World,All Sons & Daughters,Called Me Higher,23AX1TW2CCpmqXtktvYe42,56,0.43,0.367,355320,0.507,5.43e-05,C#,0.102,-8.76,Major,0.0321,171.957,4/4,0.194
Soul,Mura Masa,...Girl,2CJOCW4VWc0u6gKTvRkdXA,45,0.182,0.779,170455,0.74,0.806,G,0.0877,-9.084,Major,0.424,176.061,4/4,0.458
Indie,The Head and the Heart,Homecoming Heroes,7AKxE1QMDDzqAOnD3ocYKT,45,0.257,0.458,226210,0.717,0.222,D#,0.0976,-8.009,Major,0.0293,133.637,4/4,0.465
Movie,Randy Newman,Spies,0fXwSdtKBapFX1OnP37dmy,8,0.381,0.661,238173,0.252,0.031,G,0.0963,-13.951,Minor,0.0379,66.416,4/4,0.488
Alternative,TWENTY88,Selfish,1YLtKcsXPhvbKiXrfqGB53,46,0.0407,0.642,190787,0.699,0,C,0.0972,-8.282,Major,0.271,90.985,4/4,0.458
Rap,Yo Gotti,Rake It Up - Diplo & Party Favor Remix,3wAbP40X5P9EVWkwmszInb,63,0.126,0.878,172987,0.933,0.0,C#,0.531,-3.093,Minor,0.277,154.006,4/4,0.601
Hip-Hop,Tony! Toni! TonÃ©!,(Lay Your Head On My) Pillow,71ZWjdZy5kChgLEWidRHpE,48,0.0537,0.713,367373,0.482,3.39e-06,F#,0.0628,-8.895,Minor,0.0393,79.064,4/4,0.485
Soul,Ms. Lauryn Hill,Ex-Factor,2VjXGuPVVxyhMgER3Uz2Fe,68,0.118,0.593,326533,0.619,0.0,D#,0.484,-9.003,Minor,0.0976,80.02,4/4,0.668
Childrenâs Music,Bishop Briggs,White Flag,2ph6BRhGcUzc2W9wIulG5k,62,0.062,0.524,230587,0.805,0.0,E,0.209,-4.08,Minor,0.065,152.044,4/4,0.354
Comedy,Demetri Martin,Fajitas to Sofa,4epmuJf1svujQ7822uxXmK,31,0.872,0.378,145496,0.874,3.81e-05,C#,0.871,-14.953,Major,0.943,83.762,4/4,0.31
Rock,Our Lady Peace,Superman's Dead,1612JQ4JxS8bm5ky53N3bH,53,0.0104,0.247,255327,0.869,8.59e-06,C#,0.0954,-8.382,Major,0.0542,175.26,4/4,0.601
World,Jason Upton,You Are Holy,3oEA77BGnch49oNxok3NB5,25,0.481,0.393,309027,0.193,0.00216,D,0.0837,-11.758,Major,0.0329,111.959,4/4,0.108
Opera,Gaetano Donizetti,Lucia d'Lammermoor: Fragmento del dÃºo del primer acto,1r3iXnD04rX2MA7jC4YFyT,8,0.949,0.275,258733,0.0866,3.52e-06,A#,0.143,-18.573,Major,0.0437,86.645,1/4,0.158
Classical,Eric Whitacre,Five Hebrew Love Songs: TemunÃ¡ (A Picture),1kolgImUY3SFo4lI6126oJ,28,0.98,0.143,105853,0.0491,0.932,G,0.064,-29.526,Major,0.056,73.212,3/4,0.0382
Ska,The English Beat,March Of The Swivel Heads - Bonus Track,0OouGFKj2QsVTSgicy26YQ,33,0.174,0.663,211400,0.883,0.74,C,0.262,-6.133,Major,0.216,177.078,4/4,0.853
Alternative,GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),15EPc80XuFrb2LmOzGjuRg,70,0.133,0.728,176702,0.607,0,C#,0.0864,-8.417,Minor,0.132,129.938,4/4,0.445
Folk,Three Dog Night,Never Been To Spain,4czsX9Yl9As2oC3pjRkARq,51,0.23,0.498,221707,0.531,0.00108,A,0.629,-14.548,Major,0.0321,89.056,4/4,0.781
Folk,Damien Jurado,Kola,6ntcJV1JvSdWaHXxFsPDon,44,0.969,0.656,154787,0.0945,0.00445,E,0.109,-16.02,Major,0.048,124.146,4/4,0.235
Blues,Eric Clapton,Pretending,2cu4KvdykqkUOUsHu3NiTD,37,0.168,0.602,283280,0.872,0.000705,A,0.0545,-6.211,Major,0.029,98.452,4/4,0.668
Country,Brett Young,Donât Wanna Write This Song,0BteLcimTI0usYZ2L2zQaZ,60,0.19,0.507,228640,0.452,0.0,D,0.0841,-7.557,Major,0.0377,150.217,4/4,0.224
Indie,Worn-Tin,Sensitivity,1F9WFVKQ0PT4EiZNoZQu2d,49,0.0358,0.705,237742,0.529,0.00338,E,0.42,-6.585,Major,0.029,110.207,4/4,0.931
World,Elevation Worship,We Are Forgiven,29jfr5F6dJANFD2xScRFn7,25,0.669,0.51,272160,0.38,9.15e-05,G,0.107,-9.556,Major,0.0265,138.047,4/4,0.154
World,Rodrigo y Gabriela,0.465972222222222 - Area 52 Version,76vnCA5NdBnTDCBfzKFdgF,20,0.688,0.584,450947,0.717,0.799,C,0.501,-7.098,Major,0.0615,188.021,3/4,0.542
Dance,Rudimental,Let Me Live,3RtG4ReXHEhIPkxPHCF4jp,54,0.00295,0.662,205760,0.844,4.78e-05,G#,0.525,-5.495,Major,0.0669,145.007,4/4,0.763
World,Israel & New Breed,New Season,7zwETxoXdvXCw8rLYZHoki,26,0.265,0.364,169867,0.918,0.0,F,0.886,-4.031,Minor,0.19,127.043,4/4,0.351
Pop,AJ Mitchell,I Don't Want You Back,38nKfxyRrjYfx0ODX1W5yB,65,0.591,0.613,224144,0.347,0.0,F,0.0959,-6.486,Major,0.034,109.764,4/4,0.25
Rap,Bryce Vine,La La Land (feat. YG),3TpBefRZ1vFcOH6z57PQRI,69,0.223,0.781,177118,0.469,0.0,C#,0.19,-5.107,Minor,0.0569,98.013,4/4,0.412
Blues,Thin Lizzy,The Rocker,2qRF6tYwmXy6oMUSI4bKQA,38,0.0759,0.263,315307,0.833,7.34e-05,D,0.303,-12.319,Major,0.135,144.734,4/4,0.556
Reggae,Tropidelic,Leviathan,6TUjj99B5Y8C962bPaEUYd,39,0.302,0.586,207840,0.455,0.0,A#,0.581,-10.141,Major,0.167,139.99,5/4,0.312
Rock,Edward Sharpe & The Magnetic Zeros,Man On Fire,6Kn5yzAyOw3jf4Y5a6d1Oq,54,0.779,0.476,259080,0.478,0.117,B,0.103,-11.766,Major,0.0395,89.06,4/4,0.489
Classical,Ludwig van Beethoven,"Piano Sonata No. 14 In C Sharp Minor, Op. 27, No. 2 -""Moonlight"": 1. Adagio sostenuto - Live",4RlvT6CorrPqx1V6qj3hnk,35,0.991,0.108,268133,0.0154,0.918,C#,0.103,-35.522,Minor,0.0505,66.12,4/4,0.0906
Movie,Joseph Williams,Unchained Melody,78otWZAoQ83EZ2K66j0wDG,16,0.959,0.376,354053,0.159,0.00397,A,0.0672,-15.277,Major,0.0277,95.34,4/4,0.283
Folk,Indigo Girls,Power Of Two,4peEqwtnP8CoTZRFkDUqnC,46,0.686,0.767,322333,0.362,0.0,C,0.0987,-11.371,Major,0.0295,114.892,4/4,0.835
